Province,Country,uid,Date,Total Confirmed Cases,Total Deaths,Total Recovered,Active Cases,New Cases,New Deaths,New Recovered,Closed cases,Death Rate Based on Confirmed cases,Death Rate Based on Closed cases,Lat Lang,Benchmark
,Saint Kitts and Nevis,Saint Kitts and Nevis,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"17.357822,-62.782998",0.02
,West Bank and Gaza,West Bank and Gaza,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"31.9522,35.2332",0.02
Greenland,Denmark,Denmark - Greenland,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"71.7069,-42.6043",0.02
Faroe Islands,Denmark,Denmark - Faroe Islands,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"61.8926,-6.9118",0.02
Jiangsu,China,China - Jiangsu,2020-01-22,1,0,0,1,0,0,0.0,0.0,0.0,0.0,"32.9711,119.455",0.02
,Czechia,Czechia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"49.8175,15.472999999999999",0.02
,Angola,Angola,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-11.2027,17.8739",0.02
Yukon,Canada,Canada - Yukon,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"64.2823,-135.0",0.02
,Cyprus,Cyprus,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"35.1264,33.4299",0.02
,Cuba,Cuba,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"22.0,-80.0",0.02
Jiangxi,China,China - Jiangxi,2020-01-22,2,0,0,2,0,0,0.0,0.0,0.0,0.0,"27.614,115.7221",0.02
,Kosovo,Kosovo,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"42.602636,20.902977",0.02
,Croatia,Croatia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"45.1,15.2",0.02
,Burma,Burma,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"21.9162,95.956",0.02
Northwest Territories,Canada,Canada - Northwest Territories,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"64.8255,-124.8457",0.02
