uid,Lat,Lang,Province,Country,2 Days Accuracy Confirmed Cases,2 Days Accuracy Active Cases,2 Days Accuracy New Cases,5 Days Accuracy Confirmed Cases,5 Days Accuracy Active Cases,5 Days Accuracy New Cases
Australia - Victoria,-37.8136,144.9631,Victoria,Australia,0.99,0.9,0.30000000000000004,0.8,0.9199999999999999,0.62
Bulgaria,42.7339,25.4858,,Bulgaria,0.99,0.9,0.6000000000000001,0.9400000000000001,0.9400000000000001,0.5599999999999999
Greece,39.0742,21.8243,,Greece,0.99,0.95,0.05,0.96,0.99,0.16
Moldova,47.4116,28.3699,,Moldova,0.99,0.95,0.05,0.9800000000000001,0.9800000000000001,0.27999999999999997
Iran,32.0,53.0,,Iran,0.99,0.95,0.1,0.8799999999999999,0.78,0.5199999999999999
Denmark,56.2639,9.5018,,Denmark,0.99,0.95,0.15000000000000002,0.9199999999999999,0.9400000000000001,0.54
Hungary,47.1625,19.5033,,Hungary,0.99,0.95,0.15000000000000002,0.9800000000000001,0.8800000000000001,0.22000000000000003
Netherlands,52.1326,5.2913,,Netherlands,0.99,0.95,0.2,0.9800000000000001,0.96,0.12000000000000002
Slovakia,48.669,19.699,,Slovakia,0.99,0.95,0.2,0.96,0.99,0.39999999999999997
Vietnam,16.0,108.0,,Vietnam,0.99,0.95,0.25,0.8400000000000001,0.78,0.66
Italy,43.0,12.0,,Italy,0.99,0.95,0.30000000000000004,0.9400000000000001,0.9800000000000001,0.06000000000000001
United Arab Emirates,24.0,54.0,,United Arab Emirates,0.99,0.95,0.30000000000000004,0.8800000000000001,0.86,0.05
United Kingdom,55.3781,-3.4360000000000004,,United Kingdom,0.99,0.95,0.30000000000000004,0.9199999999999999,0.9199999999999999,0.14
Finland,64.0,26.0,,Finland,0.99,0.95,0.35,0.9,0.9,0.9199999999999999
Sri Lanka,7.0,81.0,,Sri Lanka,0.99,0.95,0.4,0.7200000000000001,0.62,0.05
Portugal,39.3999,-8.2245,,Portugal,0.99,0.99,0.05,0.9800000000000001,0.9800000000000001,0.1
Russia,60.0,90.0,,Russia,0.99,0.99,0.05,0.7600000000000001,0.78,0.43999999999999995
Turkey,38.9637,35.2433,,Turkey,0.99,0.99,0.05,0.7,0.76,0.42000000000000004
US,37.0902,-95.7129,,US,0.99,0.99,0.15000000000000002,0.9400000000000001,0.9199999999999999,0.13999999999999999
"Korea, South",36.0,128.0,,"Korea, South",0.99,0.99,0.2,0.9800000000000001,0.9,0.56
Kuwait,29.5,47.75,,Kuwait,0.99,0.99,0.2,0.9800000000000001,0.9400000000000001,0.6599999999999999
Mexico,23.6345,-102.5528,,Mexico,0.99,0.99,0.2,0.9400000000000001,0.96,0.36000000000000004
Sweden,63.0,16.0,,Sweden,0.99,0.99,0.25,0.96,0.8799999999999999,0.22000000000000003
Uruguay,-32.5228,-55.7658,,Uruguay,0.99,0.99,0.25,0.99,0.9800000000000001,0.34
Qatar,25.3548,51.1839,,Qatar,0.99,0.99,0.6,0.9800000000000001,0.9400000000000001,0.72
