Lat,Lang,Province,Country,2 Days Accuracy: Confirmed Cases,2 Days Accuracy: Active Cases,2 Days Accuracy: New Cases,5 Days Accuracy: Confirmed Cases,5 Days Accuracy: Active Cases,5 Days Accuracy: New Cases,14 Days Accuracy: Confirmed Cases,14 Days Accuracy: Active Cases,14 Days Accuracy: New Cases,30 Days Accuracy: Confirmed Cases,30 Days Accuracy: Active Cases,30 Days Accuracy: New Cases
39.3999,-8.2245,,Portugal,0.8,0.8500000000000001,0.05,0.7,0.6799999999999999,0.05,0.21,0.2,0.77,0.0,0.0,0.57
40.5908,-77.2098,Pennsylvania,US,0.8,0.8,0.05,0.72,0.74,0.05,0.0,0.0,0.93,0.0,0.0,0.43
2.5,112.5,,Malaysia,0.8,0.8500000000000001,0.05,0.7200000000000001,0.82,0.05,0.41,0.33,0.05,0.2,0.15,0.7
39.0598,-105.3111,Colorado,US,0.8,0.8,0.05,0.78,0.74,0.05,0.0,0.0,0.86,0.0,0.0,0.4
-35.6751,-71.543,,Chile,0.8,0.75,0.05,0.8,0.8,0.05,0.12,0.12,0.79,0.0,0.0,0.47
-32.5228,-55.7658,,Uruguay,0.8,0.8,0.05,0.8200000000000001,0.6,0.05,0.0,0.0,0.05,0.0,0.0,0.27
56.8796,24.6032,,Latvia,0.8,0.7,0.05,0.8400000000000001,0.96,0.05,0.15,0.13,0.86,0.0,0.0,0.5
31.7917,-7.0926,,Morocco,0.8,0.75,0.05,0.8800000000000001,0.9199999999999999,0.05,0.15,0.19,0.93,0.0,0.0,0.5
42.7339,25.4858,,Bulgaria,0.8,0.8,0.05,0.8800000000000001,0.9199999999999999,0.05,0.09,0.13,0.79,0.0,0.0,0.4
-0.7893,113.9213,,Indonesia,0.8,0.7,0.05,0.9,0.9,0.05,0.14,0.1,0.86,0.0,0.0,0.53
60.0,90.0,,Russia,0.8,0.8,0.05,0.9,0.78,0.05,0.34,0.29,0.86,0.0,0.0,0.53
47.4009,-121.4905,Washington,US,0.8,0.75,0.05,0.9199999999999999,0.9199999999999999,0.05,0.0,0.0,0.86,0.0,0.0,0.4
