Lat;Lang;Province;Country;Date;Forecast Confirmed Cases;Forecast Confirmed Cases Upper Bound;Forecast Confirmed Cases Lower Bound;Forecast New Cases;Forecast New Cases Upper Bound;Forecast New Cases Lower Bound
14.6415;-61.0242;Martinique;France;2020-03-26;78;62;93;8;0;21
14.6415;-61.0242;Martinique;France;2020-03-27;89;67;112;9;0;22
46.2276;2.2137;;France;2020-03-26;28067;26510;32743;3296;1865;4757
46.2276;2.2137;;France;2020-03-27;33039;28835;37318;3540;2035;4553
51.0;9.0;;Germany;2020-03-26;43041;38995;47035;4499;2982;6340
51.0;9.0;;Germany;2020-03-27;48571;42217;54581;5187;3341;7159
39.0742;21.8243;;Greece;2020-03-26;926;822;1022;81;27;138
39.0742;21.8243;;Greece;2020-03-27;1022;891;1149;91;19;160
47.1625;19.5033;;Hungary;2020-03-26;274;222;325;39;4;70
47.1625;19.5033;;Hungary;2020-03-27;329;262;432;40;0;83
64.9631;-19.0208;;Iceland;2020-03-26;838;744;929;81;32;142
64.9631;-19.0208;;Iceland;2020-03-27;934;809;1090;94;29;154
21.0;78.0;;India;2020-03-26;792;688;896;88;8;158
21.0;78.0;;India;2020-03-27;919;728;1114;121;22;238
-0.7893;113.9213;;Indonesia;2020-03-26;943;808;1077;126;32;198
-0.7893;113.9213;;Indonesia;2020-03-27;1098;894;1280;124;36;208
32.0;53.0;;Iran;2020-03-26;28552;27365;29789;1984;906;2963
32.0;53.0;;Iran;2020-03-27;30260;28869;31958;2323;1222;3410
33.0;44.0;;Iraq;2020-03-26;401;362;441;43;3;75
33.0;44.0;;Iraq;2020-03-27;434;370;507;44;6;82
53.1424;-7.6921;;Ireland;2020-03-26;1963;1637;2276;275;151;408
53.1424;-7.6921;;Ireland;2020-03-27;2255;1790;2731;272;106;453
31.0;35.0;;Israel;2020-03-26;2754;2037;3472;565;225;980
31.0;35.0;;Israel;2020-03-27;3221;2276;4120;728;214;1321
43.0;12.0;;Italy;2020-03-26;82125;75744;87054;6638;4083;8896
43.0;12.0;;Italy;2020-03-27;88972;82239;95142;6329;3328;9246
36.0;138.0;;Japan;2020-03-26;1397;1308;1482;87;26;145
36.0;138.0;;Japan;2020-03-27;1473;1353;1634;116;53;194
31.24;36.51;;Jordan;2020-03-26;206;178;242;29;8;47
31.24;36.51;;Jordan;2020-03-27;240;194;291;29;0;62
36.0;128.0;;Korea, South;2020-03-26;9324;9150;9604;77;3;142
36.0;128.0;;Korea, South;2020-03-27;9525;9149;9861;80;0;180
29.5;47.75;;Kuwait;2020-03-26;206;193;217;3;0;9
29.5;47.75;;Kuwait;2020-03-27;214;199;233;3;0;9
56.8796;24.6032;;Latvia;2020-03-26;260;218;305;31;9;55
56.8796;24.6032;;Latvia;2020-03-27;307;244;385;29;0;58
33.8547;35.8623;;Lebanon;2020-03-26;406;358;458;48;19;77
33.8547;35.8623;;Lebanon;2020-03-27;463;384;524;46;0;90
55.1694;23.8813;;Lithuania;2020-03-26;354;286;428;65;21;110
55.1694;23.8813;;Lithuania;2020-03-27;419;287;544;69;0;141
49.8153;6.1296;;Luxembourg;2020-03-26;1635;1415;1859;263;113;434
49.8153;6.1296;;Luxembourg;2020-03-27;1952;1569;2368;272;56;471
2.5;112.5;;Malaysia;2020-03-26;2067;1902;2242;182;92;265
2.5;112.5;;Malaysia;2020-03-27;2347;2057;2660;178;47;297
35.9375;14.3754;;Malta;2020-03-26;149;128;172;15;0;35
35.9375;14.3754;;Malta;2020-03-27;170;136;202;15;0;39
23.6345;-102.5528;;Mexico;2020-03-26;515;435;595;62;17;108
23.6345;-102.5528;;Mexico;2020-03-27;615;480;753;70;2;126
47.4116;28.3699;;Moldova;2020-03-26;176;142;206;24;0;49
47.4116;28.3699;;Moldova;2020-03-27;209;163;263;24;0;50
31.7917;-7.0926;;Morocco;2020-03-26;269;219;325;45;8;80
