Lat;Lang;Province;Country;2 Days Accuracy: Confirmed Cases;2 Days Accuracy: Active Cases;2 Days Accuracy: New Cases;5 Days Accuracy: Confirmed Cases;5 Days Accuracy: Active Cases;5 Days Accuracy: New Cases
48.669;19.699;;Slovakia;0.95;0.95;0.99;0.82;0.8;0.52
39.0639;-76.8021;Maryland;US;0.95;0.99;0.1;0.72;0.5399999999999999;0.6599999999999999
51.2538;-85.3232;Ontario;Canada;0.95;0.99;0.2;0.9200000000000002;0.9399999999999998;0.43999999999999995
23.6345;-102.5528;;Mexico;0.95;0.99;0.25;0.8799999999999999;0.76;0.36
33.0406;-83.6431;Georgia;US;0.95;0.99;0.4;0.68;0.68;0.5599999999999999
32.3182;-86.9023;Alabama;US;0.95;0.99;0.05;0.68;0.6399999999999999;0.78
32.0;53.0;;Iran;0.99;0.9;0.35;0.76;0.9800000000000001;0.24
36.0;128.0;;Korea, South;0.99;0.9;0.4;0.9800000000000001;0.8800000000000001;0.86
34.9697;-92.3731;Arkansas;US;0.99;0.95;0.15;0.45999999999999996;0.42000000000000004;0.86
64.0;26.0;;Finland;0.99;0.95;0.15000000000000002;0.8800000000000001;0.8800000000000001;0.9199999999999999
49.8153;6.1296;;Luxembourg;0.99;0.95;0.2;0.5399999999999999;0.45999999999999996;0.7
42.2302;-71.5301;Massachusetts;US;0.99;0.95;0.2;0.78;0.8;0.05
45.6945;-93.9002;Minnesota;US;0.99;0.95;0.2;0.8799999999999999;0.9199999999999999;0.44000000000000006
41.6809;-71.5118;Rhode Island;US;0.99;0.95;0.25;0.58;0.6;0.8400000000000001
44.2685;-89.6165;Wisconsin;US;0.99;0.95;0.3;0.6399999999999999;0.58;0.5599999999999999
-33.8688;151.2093;New South Wales;Australia;0.99;0.95;0.35;0.8400000000000001;0.8800000000000001;0.4600000000000001
36.0;138.0;;Japan;0.99;0.95;0.35;0.9;0.96;0.8800000000000001
33.8569;-80.945;South Carolina;US;0.99;0.95;0.44999999999999996;0.66;0.62;0.6199999999999999
39.0742;21.8243;;Greece;0.99;0.95;0.45;0.6;0.78;0.05
52.9399;-73.5491;Quebec;Canada;0.99;0.99;0.05;0.8399999999999999;0.8;0.4
52.1326;5.2913;Netherlands;Netherlands;0.99;0.99;0.05;0.9400000000000001;0.9400000000000001;0.34
60.472;8.4689;;Norway;0.99;0.99;0.05;0.86;0.78;0.4600000000000001
39.3999;-8.2245;;Portugal;0.99;0.99;0.05;0.76;0.7000000000000001;0.05
43.0;12.0;;Italy;0.99;0.99;0.1;0.8400000000000001;0.9;0.21999999999999997
51.9194;19.1451;;Poland;0.99;0.99;0.1;0.8400000000000001;0.76;0.86
29.5;47.75;;Kuwait;0.99;0.99;0.25;0.9400000000000001;0.9400000000000001;0.33999999999999997
46.1512;14.9955;;Slovenia;0.99;0.99;0.25;0.7000000000000001;0.62;0.05
40.0;-4.0;;Spain;0.99;0.99;0.25;0.9800000000000001;0.9200000000000002;0.27999999999999997
46.8182;8.2275;;Switzerland;0.99;0.99;0.45;0.8200000000000001;0.86;0.48
