Lat;Lang;Province;Country;Date;Forecast Confirmed Cases;Forecast Confirmed Cases Upper Bound;Forecast Confirmed Cases Lower Bound;Forecast Active Cases;Forecast Active Cases Upper Bound;Forecast Active Cases Lower Bound;Forecast New Cases;Forecast New Cases Upper Bound;Forecast New Cases Lower Bound
44.0165;21.0059;;Serbia;2020-03-23;263;222;302;265;217;331;53;17;107
44.0165;21.0059;;Serbia;2020-03-24;327;236;417;328;214;449;59;0;137
44.0165;21.0059;;Serbia;2020-03-25;394;279;548;415;223;617;66;0;161
44.0165;21.0059;;Serbia;2020-03-26;453;246;668;547;234;792;87;0;213
44.0165;21.0059;;Serbia;2020-03-27;551;188;862;615;220;989;67;0;201
48.669;19.699;;Slovakia;2020-03-23;211;180;237;215;178;250;34;0;70
48.669;19.699;;Slovakia;2020-03-24;236;181;290;249;189;319;36;0;76
48.669;19.699;;Slovakia;2020-03-25;275;199;360;311;196;422;31;0;82
48.669;19.699;;Slovakia;2020-03-26;313;199;433;356;198;528;49;0;102
48.669;19.699;;Slovakia;2020-03-27;378;206;582;412;205;623;19;0;114
42.7339;25.4858;;Bulgaria;2020-03-23;217;186;255;219;168;262;44;0;94
42.7339;25.4858;;Bulgaria;2020-03-24;259;188;328;271;182;368;45;0;100
42.7339;25.4858;;Bulgaria;2020-03-25;313;205;436;322;165;517;47;0;105
42.7339;25.4858;;Bulgaria;2020-03-26;373;202;547;416;181;631;54;0;117
42.7339;25.4858;;Bulgaria;2020-03-27;427;182;696;491;173;813;53;0;160
51.2538;-85.3232;Ontario;Canada;2020-03-23;486;424;568;493;397;583;68;0;131
51.2538;-85.3232;Ontario;Canada;2020-03-24;561;436;710;587;441;757;84;20;159
51.2538;-85.3232;Ontario;Canada;2020-03-25;660;427;886;695;505;964;92;0;180
51.2538;-85.3232;Ontario;Canada;2020-03-26;792;442;1101;798;478;1229;101;0;220
51.2538;-85.3232;Ontario;Canada;2020-03-27;990;459;1443;972;457;1559;121;0;259
53.9333;-116.5765;Alberta;Canada;2020-03-23;316;253;382;321;258;392;57;0;130
53.9333;-116.5765;Alberta;Canada;2020-03-24;392;247;498;421;297;559;66;0;152
53.9333;-116.5765;Alberta;Canada;2020-03-25;491;263;659;543;267;812;86;0;193
53.9333;-116.5765;Alberta;Canada;2020-03-26;619;287;834;627;270;992;75;0;230
53.9333;-116.5765;Alberta;Canada;2020-03-27;736;247;1181;706;246;1192;64;0;206
52.9399;-73.5491;Quebec;Canada;2020-03-23;264;221;304;267;207;329;51;1;108
52.9399;-73.5491;Quebec;Canada;2020-03-24;317;233;418;336;230;451;67;0;115
52.9399;-73.5491;Quebec;Canada;2020-03-25;351;233;523;414;244;606;65;0;158
52.9399;-73.5491;Quebec;Canada;2020-03-26;470;196;727;519;264;804;66;0;164
52.9399;-73.5491;Quebec;Canada;2020-03-27;539;193;910;686;284;1019;77;0;217
47.4009;-121.4905;Washington;US;2020-03-23;2221;1985;2502;2214;1749;2651;282;131;418
47.4009;-121.4905;Washington;US;2020-03-24;2498;1992;2884;2522;1854;3108;300;142;483
47.4009;-121.4905;Washington;US;2020-03-25;2847;2028;3553;2873;1969;3922;341;110;614
47.4009;-121.4905;Washington;US;2020-03-26;3198;2059;4176;3265;1924;4957;390;52;602
47.4009;-121.4905;Washington;US;2020-03-27;3736;2104;5260;3651;2097;5661;381;94;730
42.1657;-74.9481;New York;US;2020-03-23;18581;15207;23500;20756;13982;27222;4460;1808;7238
42.1657;-74.9481;New York;US;2020-03-24;23969;15822;31433;25429;12994;37190;6278;1276;8550
42.1657;-74.9481;New York;US;2020-03-25;29032;19341;38579;30445;14531;42399;5254;0;9762
42.1657;-74.9481;New York;US;2020-03-26;32960;19322;44820;35222;15201;49978;5981;293;10835
42.1657;-74.9481;New York;US;2020-03-27;37515;19669;51866;35900;17458;51640;5566;0;11580
36.1162;-119.6816;California;US;2020-03-23;1897;1587;2187;1926;1550;2269;314;134;515
36.1162;-119.6816;California;US;2020-03-24;2291;1700;2830;2299;1605;2927;379;135;596
36.1162;-119.6816;California;US;2020-03-25;2615;1803;3518;2738;1728;3682;381;13;759
36.1162;-119.6816;California;US;2020-03-26;3145;1980;4368;3299;1868;4828;427;0;944
36.1162;-119.6816;California;US;2020-03-27;3976;2055;5484;3721;1794;5820;411;0;864
42.2302;-71.5301;Massachusetts;US;2020-03-23;762;656;886;751;581;897;116;26;217
42.2302;-71.5301;Massachusetts;US;2020-03-24;925;701;1171;930;631;1198;169;0;300
42.2302;-71.5301;Massachusetts;US;2020-03-25;1117;778;1549;1128;671;1620;187;0;379
42.2302;-71.5301;Massachusetts;US;2020-03-26;1384;786;2005;1397;687;2140;110;0;437
42.2302;-71.5301;Massachusetts;US;2020-03-27;1717;716;2482;1618;707;2510;169;0;540
33.0406;-83.6431;Georgia;US;2020-03-23;746;610;896;715;545;883;271;67;276
33.0406;-83.6431;Georgia;US;2020-03-24;908;632;1197;915;604;1194;146;3;306
33.0406;-83.6431;Georgia;US;2020-03-25;1131;673;1619;1148;601;1635;181;0;397
33.0406;-83.6431;Georgia;US;2020-03-26;1386;738;2022;1402;709;2083;138;0;395
33.0406;-83.6431;Georgia;US;2020-03-27;1500;789;2354;1664;773;2471;212;0;505
39.0598;-105.3111;Colorado;US;2020-03-23;536;458;627;557;451;653;89;22;155
39.0598;-105.3111;Colorado;US;2020-03-24;650;492;805;668;458;871;101;30;177
39.0598;-105.3111;Colorado;US;2020-03-25;785;518;1075;830;506;1168;113;0;235
39.0598;-105.3111;Colorado;US;2020-03-26;924;520;1295;978;505;1414;126;0;312
39.0598;-105.3111;Colorado;US;2020-03-27;1081;467;1644;1139;510;1675;133;0;344
27.7663;-81.6868;Florida;US;2020-03-23;998;797;1143;1021;782;1234;182;0;372
27.7663;-81.6868;Florida;US;2020-03-24;1223;869;1577;1301;836;1724;191;0;447
27.7663;-81.6868;Florida;US;2020-03-25;1492;927;1987;1550;912;2226;224;0;529
27.7663;-81.6868;Florida;US;2020-03-26;1908;938;2603;1936;971;2827;201;0;591
27.7663;-81.6868;Florida;US;2020-03-27;2043;547;3293;2333;1028;3548;266;0;600
40.2989;-74.521;New Jersey;US;2020-03-23;2475;1891;3085;2498;1547;3445;502;126;858
40.2989;-74.521;New Jersey;US;2020-03-24;2831;2202;4151;3224;1605;4754;602;146;1060
40.2989;-74.521;New Jersey;US;2020-03-25;3817;2338;5005;3856;1490;6121;729;0;1408
40.2989;-74.521;New Jersey;US;2020-03-26;4187;1962;5957;4417;1661;6518;773;0;1658
40.2989;-74.521;New Jersey;US;2020-03-27;4556;1870;6775;5055;1697;7490;699;0;1865
44.571999999999996;-122.0709;Oregon;US;2020-03-23;184;151;215;191;143;231;31;0;68
44.571999999999996;-122.0709;Oregon;US;2020-03-24;222;161;279;238;156;320;39;0;82
44.571999999999996;-122.0709;Oregon;US;2020-03-25;268;168;398;299;171;435;45;0;112
44.571999999999996;-122.0709;Oregon;US;2020-03-26;301;145;467;334;138;539;41;0;136
44.571999999999996;-122.0709;Oregon;US;2020-03-27;350;127;571;414;140;679;40;0;138
31.0545;-97.5635;Texas;US;2020-03-23;775;611;915;844;608;1049;169;6;338
31.0545;-97.5635;Texas;US;2020-03-24;1015;729;1324;1098;635;1581;211;0;419
31.0545;-97.5635;Texas;US;2020-03-25;1232;734;1651;1347;656;2118;171;0;440
31.0545;-97.5635;Texas;US;2020-03-26;1563;759;2255;1690;723;2624;224;0;638
31.0545;-97.5635;Texas;US;2020-03-27;1696;677;2470;1860;727;2873;199;0;568
40.3495;-88.9861;Illinois;US;2020-03-23;1276;966;1546;1287;733;1758;263;52;455
40.3495;-88.9861;Illinois;US;2020-03-24;1676;1015;2180;1747;770;2570;359;79;674
40.3495;-88.9861;Illinois;US;2020-03-25;2057;914;2918;2128;842;3258;359;0;768
40.3495;-88.9861;Illinois;US;2020-03-26;2537;965;3547;2580;750;4041;351;0;1037
40.3495;-88.9861;Illinois;US;2020-03-27;2623;824;4004;2881;668;4356;432;0;930
40.5908;-77.2098;Pennsylvania;US;2020-03-23;630;516;745;662;475;865;156;57;254
40.5908;-77.2098;Pennsylvania;US;2020-03-24;785;544;1013;881;550;1285;159;0;304
40.5908;-77.2098;Pennsylvania;US;2020-03-25;979;630;1323;1146;609;1734;158;0;388
40.5908;-77.2098;Pennsylvania;US;2020-03-26;1091;500;1633;1367;548;2238;182;0;446
40.5908;-77.2098;Pennsylvania;US;2020-03-27;1312;448;2072;1641;515;2382;256;0;507
42.0115;-93.2105;Iowa;US;2020-03-23;109;85;132;106;78;134;22;0;48
42.0115;-93.2105;Iowa;US;2020-03-24;131;86;175;138;81;191;20;0;68
42.0115;-93.2105;Iowa;US;2020-03-25;163;63;233;186;91;274;30;0;82
42.0115;-93.2105;Iowa;US;2020-03-26;198;67;303;222;99;371;30;0;96
42.0115;-93.2105;Iowa;US;2020-03-27;202;58;343;256;79;462;32;0;104
39.0639;-76.8021;Maryland;US;2020-03-23;283;216;347;313;242;374;66;12;126
39.0639;-76.8021;Maryland;US;2020-03-24;351;222;485;419;276;568;79;2;164
39.0639;-76.8021;Maryland;US;2020-03-25;447;228;630;541;301;764;60;0;172
39.0639;-76.8021;Maryland;US;2020-03-26;532;207;791;666;286;1076;91;0;198
39.0639;-76.8021;Maryland;US;2020-03-27;578;207;939;792;242;1194;71;0;214
35.6301;-79.8064;North Carolina;US;2020-03-23;386;302;473;388;288;499;40;0;149
35.6301;-79.8064;North Carolina;US;2020-03-24;499;339;662;515;335;696;83;0;186
35.6301;-79.8064;North Carolina;US;2020-03-25;621;366;861;649;356;1034;127;0;249
35.6301;-79.8064;North Carolina;US;2020-03-26;720;388;1038;795;314;1279;117;0;282
35.6301;-79.8064;North Carolina;US;2020-03-27;820;354;1325;882;365;1382;75;0;245
33.8569;-80.945;South Carolina;US;2020-03-23;248;199;300;240;183;297;67;0;115
33.8569;-80.945;South Carolina;US;2020-03-24;311;207;452;302;183;406;62;0;131
33.8569;-80.945;South Carolina;US;2020-03-25;433;187;604;364;187;545;54;0;173
33.8569;-80.945;South Carolina;US;2020-03-26;469;170;736;484;202;738;69;0;167
33.8569;-80.945;South Carolina;US;2020-03-27;469;113;832;558;150;880;45;0;191
35.7478;-86.6923;Tennessee;US;2020-03-23;643;518;783;679;489;892;136;27;240
35.7478;-86.6923;Tennessee;US;2020-03-24;846;602;1094;896;584;1325;153;0;308
35.7478;-86.6923;Tennessee;US;2020-03-25;1031;603;1447;1199;595;1860;217;0;440
35.7478;-86.6923;Tennessee;US;2020-03-26;1155;595;1723;1347;570;2065;198;0;495
35.7478;-86.6923;Tennessee;US;2020-03-27;1155;375;1952;1542;581;2511;172;0;500
37.7693;-78.17;Virginia;US;2020-03-23;254;217;312;267;202;334;52;0;119
37.7693;-78.17;Virginia;US;2020-03-24;323;240;416;344;217;476;53;0;130
37.7693;-78.17;Virginia;US;2020-03-25;404;245;592;579;210;624;68;0;154
37.7693;-78.17;Virginia;US;2020-03-26;503;200;749;580;188;861;55;0;184
37.7693;-78.17;Virginia;US;2020-03-27;577;166;967;584;163;996;39;0;200
33.7298;-111.4312;Arizona;US;2020-03-23;192;147;227;201;140;270;43;6;78
33.7298;-111.4312;Arizona;US;2020-03-24;255;164;348;264;127;388;57;0;121
33.7298;-111.4312;Arizona;US;2020-03-25;302;167;444;301;146;494;62;0;136
33.7298;-111.4312;Arizona;US;2020-03-26;348;109;576;389;118;717;66;0;205
33.7298;-111.4312;Arizona;US;2020-03-27;350;42;607;429;28;752;73;0;231
39.8494;-86.2583;Indiana;US;2020-03-23;240;179;314;260;181;346;57;0;114
39.8494;-86.2583;Indiana;US;2020-03-24;313;188;431;305;171;517;66;0;171
39.8494;-86.2583;Indiana;US;2020-03-25;350;149;562;341;119;670;87;0;175
39.8494;-86.2583;Indiana;US;2020-03-26;394;84;643;496;129;807;90;0;246
39.8494;-86.2583;Indiana;US;2020-03-27;402;50;717;503;93;950;57;0;233
37.6681;-84.6701;Kentucky;US;2020-03-23;114;89;146;120;84;154;21;0;52
37.6681;-84.6701;Kentucky;US;2020-03-24;147;98;195;154;78;243;28;0;61
37.6681;-84.6701;Kentucky;US;2020-03-25;186;94;280;191;70;301;32;0;78
37.6681;-84.6701;Kentucky;US;2020-03-26;218;94;331;229;41;416;30;0;94
37.6681;-84.6701;Kentucky;US;2020-03-27;258;65;399;260;28;480;32;0;99
38.8974;-77.0268;District of Columbia;US;2020-03-23;123;99;145;131;97;158;24;0;48
38.8974;-77.0268;District of Columbia;US;2020-03-24;155;100;204;167;108;244;24;0;61
38.8974;-77.0268;District of Columbia;US;2020-03-25;196;114;279;212;101;332;26;0;71
38.8974;-77.0268;District of Columbia;US;2020-03-26;214;103;314;234;82;404;37;0;91
38.8974;-77.0268;District of Columbia;US;2020-03-27;259;99;414;432;57;495;44;0;145
38.3135;-117.0554;Nevada;US;2020-03-23;234;191;275;242;189;291;51;16;91
38.3135;-117.0554;Nevada;US;2020-03-24;290;202;372;315;210;420;55;0;108
38.3135;-117.0554;Nevada;US;2020-03-25;362;217;513;391;213;593;49;0;116
38.3135;-117.0554;Nevada;US;2020-03-26;419;222;626;444;183;677;63;0;157
38.3135;-117.0554;Nevada;US;2020-03-27;493;224;775;513;184;831;46;0;174
43.4525;-71.5639;New Hampshire;US;2020-03-23;77;64;89;81;62;96;11;0;25
43.4525;-71.5639;New Hampshire;US;2020-03-24;87;64;122;94;64;135;14;0;36
43.4525;-71.5639;New Hampshire;US;2020-03-25;107;58;166;119;66;187;16;0;45
43.4525;-71.5639;New Hampshire;US;2020-03-26;135;52;199;144;64;223;9;0;43
43.4525;-71.5639;New Hampshire;US;2020-03-27;152;54;238;163;55;291;14;0;57
45.6945;-93.9002;Minnesota;US;2020-03-23;197;167;234;204;167;243;38;8;70
45.6945;-93.9002;Minnesota;US;2020-03-24;239;171;308;248;173;340;39;0;88
45.6945;-93.9002;Minnesota;US;2020-03-25;299;183;420;298;180;439;43;0;108
45.6945;-93.9002;Minnesota;US;2020-03-26;353;185;537;376;167;553;44;0;103
45.6945;-93.9002;Minnesota;US;2020-03-27;416;178;602;439;166;745;46;0;135
41.1254;-98.2681;Nebraska;US;2020-03-23;59;52;69;60;51;72;8;0;20
41.1254;-98.2681;Nebraska;US;2020-03-24;67;50;84;74;50;97;12;0;28
41.1254;-98.2681;Nebraska;US;2020-03-25;79;55;105;98;53;131;11;0;32
41.1254;-98.2681;Nebraska;US;2020-03-26;92;53;131;109;57;175;15;0;36
41.1254;-98.2681;Nebraska;US;2020-03-27;112;52;179;118;42;198;13;0;52
40.3888;-82.7649;Ohio;US;2020-03-23;431;333;561;461;282;596;115;24;218
40.3888;-82.7649;Ohio;US;2020-03-24;576;395;822;634;371;925;125;13;250
40.3888;-82.7649;Ohio;US;2020-03-25;695;393;1030;766;331;1260;112;0;261
40.3888;-82.7649;Ohio;US;2020-03-26;786;358;1258;934;300;1610;139;0;346
40.3888;-82.7649;Ohio;US;2020-03-27;854;212;1602;1064;265;1600;150;0;373
41.6809;-71.5118;Rhode Island;US;2020-03-23;97;79;112;100;70;129;23;3;43
41.6809;-71.5118;Rhode Island;US;2020-03-24;115;85;155;123;70;178;23;0;56
41.6809;-71.5118;Rhode Island;US;2020-03-25;138;86;197;143;68;224;16;0;59
41.6809;-71.5118;Rhode Island;US;2020-03-26;163;80;244;186;77;308;20;0;62
41.6809;-71.5118;Rhode Island;US;2020-03-27;194;77;309;215;46;400;77;0;76
44.2685;-89.6165;Wisconsin;US;2020-03-23;476;380;581;510;375;640;112;34;187
44.2685;-89.6165;Wisconsin;US;2020-03-24;619;427;766;614;317;945;132;0;274
44.2685;-89.6165;Wisconsin;US;2020-03-25;755;432;1053;784;322;1201;99;0;316
44.2685;-89.6165;Wisconsin;US;2020-03-26;874;379;1361;927;228;1478;149;0;371
44.2685;-89.6165;Wisconsin;US;2020-03-27;985;384;1729;1081;161;1660;46;0;380
41.5978;-72.7554;Connecticut;US;2020-03-23;261;217;307;269;219;334;37;0;73
41.5978;-72.7554;Connecticut;US;2020-03-24;304;219;397;347;244;449;47;0;106
41.5978;-72.7554;Connecticut;US;2020-03-25;361;214;495;458;298;626;38;0;112
41.5978;-72.7554;Connecticut;US;2020-03-26;429;213;661;564;298;787;61;0;151
41.5978;-72.7554;Connecticut;US;2020-03-27;516;214;809;681;255;1062;49;0;142
35.5653;-96.9289;Oklahoma;US;2020-03-23;82;66;98;84;67;110;14;0;29
35.5653;-96.9289;Oklahoma;US;2020-03-24;104;66;141;111;70;150;18;0;44
35.5653;-96.9289;Oklahoma;US;2020-03-25;123;66;181;146;71;210;20;0;52
35.5653;-96.9289;Oklahoma;US;2020-03-26;152;58;234;168;61;292;7;0;54
35.5653;-96.9289;Oklahoma;US;2020-03-27;192;51;285;213;46;369;22;0;78
40.15;-111.8624;Utah;US;2020-03-23;225;178;278;230;145;289;51;12;93
40.15;-111.8624;Utah;US;2020-03-24;287;199;406;288;129;432;54;0;132
40.15;-111.8624;Utah;US;2020-03-25;364;184;501;394;143;590;62;0;153
40.15;-111.8624;Utah;US;2020-03-26;399;143;662;416;116;696;93;0;205
40.15;-111.8624;Utah;US;2020-03-27;446;94;732;496;109;825;44;0;179
8.538;-80.7821;;Panama;2020-03-23;297;246;348;297;231;360;59;18;132
8.538;-80.7821;;Panama;2020-03-24;371;261;493;382;198;527;55;0;146
8.538;-80.7821;;Panama;2020-03-25;463;262;663;509;250;794;81;0;177
8.538;-80.7821;;Panama;2020-03-26;549;278;845;576;229;930;68;0;205
8.538;-80.7821;;Panama;2020-03-27;621;204;1005;732;204;1207;83;0;247
38.5266;-96.7265;Kansas;US;2020-03-23;76;60;93;79;62;100;16;0;37
38.5266;-96.7265;Kansas;US;2020-03-24;96;60;129;101;58;151;23;0;53
38.5266;-96.7265;Kansas;US;2020-03-25;118;64;168;133;60;205;18;0;52
38.5266;-96.7265;Kansas;US;2020-03-26;145;58;225;165;50;271;20;0;65
38.5266;-96.7265;Kansas;US;2020-03-27;145;52;260;184;40;329;13;0;59
31.1695;-91.8678;Louisiana;US;2020-03-23;1003;796;1218;1059;744;1297;243;96;431
31.1695;-91.8678;Louisiana;US;2020-03-24;1311;890;1591;1323;813;1857;251;38;488
31.1695;-91.8678;Louisiana;US;2020-03-25;1498;902;2165;1637;768;2573;291;0;620
31.1695;-91.8678;Louisiana;US;2020-03-26;1777;959;2613;1996;629;2987;311;0;676
31.1695;-91.8678;Louisiana;US;2020-03-27;2159;929;3203;2143;483;3470;270;0;600
38.4561;-92.2884;Missouri;US;2020-03-23;128;87;163;133;92;170;25;0;61
38.4561;-92.2884;Missouri;US;2020-03-24;170;83;233;180;93;257;28;0;79
38.4561;-92.2884;Missouri;US;2020-03-25;206;80;300;234;102;363;32;0;112
38.4561;-92.2884;Missouri;US;2020-03-26;206;62;374;263;53;449;48;0;141
38.4561;-92.2884;Missouri;US;2020-03-27;258;31;483;258;26;467;46;0;135
44.0459;-72.7107;Vermont;US;2020-03-23;63;45;80;60;43;80;11;0;31
44.0459;-72.7107;Vermont;US;2020-03-24;77;48;103;86;43;124;11;0;41
44.0459;-72.7107;Vermont;US;2020-03-25;103;47;149;101;37;168;21;0;67
44.0459;-72.7107;Vermont;US;2020-03-26;115;49;191;123;33;197;15;0;61
44.0459;-72.7107;Vermont;US;2020-03-27;137;27;248;111;11;204;7;0;51
34.9697;-92.3731;Arkansas;US;2020-03-23;205;153;254;222;160;289;63;4;97
34.9697;-92.3731;Arkansas;US;2020-03-24;262;156;349;306;159;439;54;0;121
34.9697;-92.3731;Arkansas;US;2020-03-25;375;187;490;369;100;626;67;0;140
34.9697;-92.3731;Arkansas;US;2020-03-26;381;140;594;452;92;784;73;0;191
34.9697;-92.3731;Arkansas;US;2020-03-27;465;108;726;482;25;976;74;0;241
44.6939;-69.3819;Maine;US;2020-03-23;104;81;127;108;84;136;23;2;44
44.6939;-69.3819;Maine;US;2020-03-24;126;85;167;135;72;190;24;0;58
44.6939;-69.3819;Maine;US;2020-03-25;150;89;223;173;79;266;32;0;76
44.6939;-69.3819;Maine;US;2020-03-26;191;95;275;204;69;337;19;0;75
44.6939;-69.3819;Maine;US;2020-03-27;204;84;319;241;64;426;23;0;88
43.3266;-84.5361;Michigan;US;2020-03-23;1336;1032;1701;1380;884;1832;309;19;573
43.3266;-84.5361;Michigan;US;2020-03-24;1678;1082;2226;1853;976;3021;407;53;739
43.3266;-84.5361;Michigan;US;2020-03-25;2003;1213;2741;2231;946;3532;409;0;856
43.3266;-84.5361;Michigan;US;2020-03-26;2464;1223;3675;2473;951;4009;418;0;874
43.3266;-84.5361;Michigan;US;2020-03-27;2608;805;4215;2605;727;4430;520;0;990
32.7416;-89.6787;Mississippi;US;2020-03-23;272;187;335;287;181;386;63;6;125
32.7416;-89.6787;Mississippi;US;2020-03-24;312;186;448;361;185;561;84;0;169
32.7416;-89.6787;Mississippi;US;2020-03-25;395;180;557;422;150;772;75;0;187
32.7416;-89.6787;Mississippi;US;2020-03-26;453;159;721;524;92;873;79;0;253
32.7416;-89.6787;Mississippi;US;2020-03-27;501;82;886;531;10;959;91;0;257
34.8405;-106.2485;New Mexico;US;2020-03-23;67;56;78;68;51;83;10;0;23
34.8405;-106.2485;New Mexico;US;2020-03-24;78;54;107;76;50;117;9;0;30
34.8405;-106.2485;New Mexico;US;2020-03-25;91;48;135;102;55;148;13;0;42
34.8405;-106.2485;New Mexico;US;2020-03-26;105;48;168;120;45;198;10;0;40
34.8405;-106.2485;New Mexico;US;2020-03-27;125;45;206;132;40;237;9;0;44
32.0;53.0;;Iran;2020-03-23;22265;19980;24382;12454;10949;14101;1036;677;1319
32.0;53.0;;Iran;2020-03-24;23220;20233;26708;12649;10279;14802;1014;657;1236
32.0;53.0;;Iran;2020-03-25;24814;20369;29320;12797;9851;15843;1071;670;1481
32.0;53.0;;Iran;2020-03-26;25430;20863;31101;12889;9645;16340;954;598;1364
32.0;53.0;;Iran;2020-03-27;26888;20512;35831;12824;8984;17442;875;459;1273
36.0;128.0;;Korea, South;2020-03-23;8896;8558;9177;5850;5399;6424;35;0;345
36.0;128.0;;Korea, South;2020-03-24;9018;8537;9502;5881;5134;6576;33;0;159
36.0;128.0;;Korea, South;2020-03-25;9176;8655;9911;5790;4922;6592;23;0;110
36.0;128.0;;Korea, South;2020-03-26;9297;8508;10070;5855;4852;6897;13;0;116
36.0;128.0;;Korea, South;2020-03-27;9433;8446;10382;5884;4650;7430;17;0;56
46.2276;2.2137;France;France;2020-03-23;17978;15520;20626;15305;11833;17852;2490;1120;4032
46.2276;2.2137;France;France;2020-03-24;19532;15965;24597;16931;11826;20859;2472;1404;3650
46.2276;2.2137;France;France;2020-03-25;23525;16356;31076;18414;11336;24884;2546;537;4491
46.2276;2.2137;France;France;2020-03-26;26804;16815;36879;20637;12477;29037;2755;763;4304
46.2276;2.2137;France;France;2020-03-27;30768;17675;46571;21624;12232;31118;2638;745;4315
56.2639;9.5018;Denmark;Denmark;2020-03-23;1454;1370;1569;1481;1306;1654;78;38;116
56.2639;9.5018;Denmark;Denmark;2020-03-24;1559;1383;1754;1605;1260;1913;72;25;116
56.2639;9.5018;Denmark;Denmark;2020-03-25;1670;1398;1967;1704;1246;2170;67;5;124
56.2639;9.5018;Denmark;Denmark;2020-03-26;1756;1432;2162;1778;1205;2329;59;0;135
56.2639;9.5018;Denmark;Denmark;2020-03-27;1838;1372;2316;1910;1173;2562;64;0;166
49.8175;15.472999999999999;;Czechia;2020-03-23;1301;1108;1484;1376;1150;1640;246;70;406
49.8175;15.472999999999999;;Czechia;2020-03-24;1526;1103;1939;1596;1063;2176;221;0;523
49.8175;15.472999999999999;;Czechia;2020-03-25;1872;1165;2566;1963;1139;2905;304;0;564
49.8175;15.472999999999999;;Czechia;2020-03-26;2232;1211;3557;2307;1152;3467;306;0;621
49.8175;15.472999999999999;;Czechia;2020-03-27;2494;1014;3842;2695;1262;4130;342;0;723
23.7;121.0;;Taiwan*;2020-03-23;199;164;232;158;131;197;31;0;62
23.7;121.0;;Taiwan*;2020-03-24;232;175;286;192;141;256;37;0;74
23.7;121.0;;Taiwan*;2020-03-25;277;186;368;231;154;321;42;0;93
23.7;121.0;;Taiwan*;2020-03-26;335;188;474;283;156;433;39;0;105
23.7;121.0;;Taiwan*;2020-03-27;403;191;621;346;138;589;52;0;152
16.0;108.0;;Vietnam;2020-03-23;125;111;137;108;89;126;14;0;27
16.0;108.0;;Vietnam;2020-03-24;139;116;168;120;82;154;15;0;34
16.0;108.0;;Vietnam;2020-03-25;160;122;199;143;89;204;11;0;46
16.0;108.0;;Vietnam;2020-03-26;183;126;245;168;86;257;17;0;51
16.0;108.0;;Vietnam;2020-03-27;212;129;297;197;82;314;13;0;53
60.0;90.0;;Russia;2020-03-23;436;370;504;451;322;519;80;9;154
60.0;90.0;;Russia;2020-03-24;517;356;655;548;370;734;82;0;216
60.0;90.0;;Russia;2020-03-25;614;343;899;667;420;920;104;0;224
60.0;90.0;;Russia;2020-03-26;724;324;1083;822;500;1219;94;0;244
60.0;90.0;;Russia;2020-03-27;863;321;1333;1019;499;1562;80;0;272
61.8926;-6.9118;Faroe Islands;Denmark;2020-03-23;133;106;157;143;116;176;26;3;52
61.8926;-6.9118;Faroe Islands;Denmark;2020-03-24;162;113;208;182;119;240;26;0;63
61.8926;-6.9118;Faroe Islands;Denmark;2020-03-25;194;120;275;217;125;321;23;0;72
61.8926;-6.9118;Faroe Islands;Denmark;2020-03-26;238;123;347;285;133;443;21;0;74
61.8926;-6.9118;Faroe Islands;Denmark;2020-03-27;287;123;434;322;110;512;19;0;96
38.9637;35.2433;;Turkey;2020-03-23;1624;1072;2067;1584;969;2311;399;0;736
38.9637;35.2433;;Turkey;2020-03-24;1788;1015;2451;2189;949;3820;476;0;901
38.9637;35.2433;;Turkey;2020-03-25;2108;1006;3049;2125;657;3939;601;0;1138
38.9637;35.2433;;Turkey;2020-03-26;2397;802;3611;2721;760;4261;450;0;1027
38.9637;35.2433;;Turkey;2020-03-27;2588;399;4226;2772;393;4232;478;0;1341
55.3781;-3.4360000000000004;United Kingdom;United Kingdom;2020-03-23;6633;5734;7697;6390;4811;7591;1256;403;2174
55.3781;-3.4360000000000004;United Kingdom;United Kingdom;2020-03-24;8037;5559;10410;7774;5061;10147;1237;344;2191
55.3781;-3.4360000000000004;United Kingdom;United Kingdom;2020-03-25;9631;6272;12732;9133;5407;12382;1479;383;2370
55.3781;-3.4360000000000004;United Kingdom;United Kingdom;2020-03-26;11428;6547;15982;10654;5699;15898;1348;0;2515
55.3781;-3.4360000000000004;United Kingdom;United Kingdom;2020-03-27;13483;7325;20103;12150;6298;18938;1685;1;3100
52.9399;-106.4509;Saskatchewan;Canada;2020-03-23;61;41;89;66;41;94;15;0;35
52.9399;-106.4509;Saskatchewan;Canada;2020-03-24;79;34;119;86;37;140;24;0;46
52.9399;-106.4509;Saskatchewan;Canada;2020-03-25;93;24;143;102;20;178;22;0;56
52.9399;-106.4509;Saskatchewan;Canada;2020-03-26;113;19;199;117;23;207;14;0;60
52.9399;-106.4509;Saskatchewan;Canada;2020-03-27;113;6;211;134;23;221;26;0;74
32.3182;-86.9023;Alabama;US;2020-03-23;168;136;202;175;134;221;43;4;81
32.3182;-86.9023;Alabama;US;2020-03-24;198;130;262;225;148;320;21;0;93
32.3182;-86.9023;Alabama;US;2020-03-25;243;131;352;298;168;428;46;0;115
32.3182;-86.9023;Alabama;US;2020-03-26;292;84;434;345;172;554;45;0;134
32.3182;-86.9023;Alabama;US;2020-03-27;332;57;546;437;188;689;40;0;131
-32.5228;-55.7658;;Uruguay;2020-03-23;161;127;195;179;126;216;34;0;77
